,word,freq,aoa,length,cat,difficulty,aoa_wrong
50,pen,2.912,5.11,3,"Object, manipulable",-0.841,1
115,pencil,2.593,4.06,6,"Object, manipulable",-0.965,2
59,piano,2.777,5.5,5,Misc.,-0.63,1
79,pie,2.898,3.67,2,"Food, other",-1.493,1
68,pig,3.024,3.84,3,"Animal, 4 footed",-1.202,1
24,pillow,2.657,3.47,4,Furniture,-0.841,3
11,pineapple,1.898,6.25,7,"food, fruit",0.157,2
128,pipe,2.809,8.17,3,"Object, manipulable",-0.746,3
31,pirate,2.215,6.5,5,Person,0.311,3
13,plant,2.92,3.95,5,Nature,0.636,2
36,pumpkin,2.441,4.78,7,"food, vegetable",0.02,3
39,pyramid,2,7.61,7,"Object, structural",1.049,3
37,queen,3.075,4.42,4,Person,-0.699,1
120,rake,1.944,5.32,3,"Object, manipulable",-0.496,1
150,ring,3.317,4.53,3,Misc.,-1.286,3
87,rope,2.816,5.44,3,"Object, manipulable",-0.964,2
23,ruler,2.143,5.94,5,"Object, manipulable",0.483,3
175,saddle,2.425,6.42,5,Misc.,0.311,3
6,sailor,2.453,6.44,5,Person,0.157,1
9,sandwich,2.874,4.79,7,"Food, other",-0.283,3
65,saw,3.808,5.35,2,"Object, manipulable",-0.722,2
72,scale,2.593,8.85,4,"Object, manipulable",0.137,3
138,scarf,2.22,5.68,5,Clothing,-0.12,3
51,scissors,2.318,4.5,6,"Object, manipulable",-0.865,1
111,seal,2.675,5.42,3,"Animal, other",-0.02,3
171,shoe,2.951,2.6,2,Clothing,-1.494,1
62,skis,2.348,6.68,3,Misc.,-0.41,1
10,skull,2.702,6.33,4,Body part,0.579,3
27,slippers,1.716,5.26,6,Clothing,0.637,1
78,snail,1.74,5.79,4,"Animal, other",0.273,1
129,snake,2.722,5.1,4,"Animal, other",-1.016,1
29,sock,2.481,2.94,3,Clothing,-0.965,1
172,spider,2.365,3.43,6,"Animal, other",-0.242,2
101,spoon,2.433,2.5,4,"Object, manipulable",-0.889,2
134,squirrel,2.22,4.44,7,"Animal, 4 footed",-0.16,1
108,star,3.261,3.89,4,Misc.,-0.89,2
18,stethoscope,1.633,8.5,9,"Object, manipulable",1.88,3
146,strawberries,2.223,4.21,8,"food, fruit",-0.02,3
165,suit,3.288,6.67,3,Clothing,-0.263,1
102,sun,3.292,3.4,3,Nature,-1.068,1
155,table,3.461,4.39,5,Furniture,-0.865,
166,tent,2.649,5.16,4,"Object, structural",-0.699,2
15,thermometer,1.898,6.63,10,"Object, manipulable",0.637,1
174,toilet,2.98,3.54,5,"Object, structural",-0.119,3
21,top,3.557,3.89,3,Toy,0.059,1
159,towel,2.721,3.22,4,"Object, manipulable",-0.496,3
93,tractor,2.029,5.5,7,Vehicle,0.368,1
92,train,3.246,4,4,Vehicle,-1.042,2
49,tree,3.21,3.57,3,Nature,-1.587,1
119,turkey,2.758,3.95,5,"Animal, other",-0.817,2
30,typewriter,1.968,6.74,8,Misc.,-0.06,3
5,van,2.962,5.19,3,Vehicle,0.579,1
38,vase,2.086,7.89,3,Furniture,0.176,3
118,vest,2.31,5.83,4,Clothing,-0.283,1
40,volcano,2.037,6.74,7,Nature,1.07,1
41,wagon,2.671,5.22,5,Toy,-0.08,
22,waterfall,1.833,5.47,8,Nature,-0.02,1
143,well,3.911,6.15,3,"Object, structural",-0.453,1
89,whistle,2.676,5.42,5,Toy,-0.965,3
44,wig,2.393,5.63,3,Misc.,0.388,3
124,window,3.388,4.74,5,"Object, structural",-1.094,1
25,zebra,1.771,4.79,5,"Animal, 4 footed",0.54,3
100,zipper,2.076,5,5,"Object, manipulable",-0.201,3
